"","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SOILMOIST3","POOLDEP","TDEEP","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"4931",206,600,1.62040746212006,1.1357421875,93.5658187866211,96.8811798095703,2.87325644493103,6.30040216445923,2.55999994277954,0,5.15054798126221,68.5501556396484,248.297210693359,-16.2381591796875,0,0,0,0
"4932",206,660,2.51212310791016,1.81256103515625,89.9097290039062,94.5133590698242,2.86338043212891,6.27874660491943,2.55999994277954,0,5.15054798126221,64.2471084594727,306.522003173828,-15.5031127929688,0,0,0,0
"4933",206,720,3.16665148735046,2.31494140625,88.9639358520508,94.5133590698242,2.84362888336182,6.23543548583984,2.55999994277954,0,5.15054798126221,62.7445373535156,328.143676757812,-14.8093566894531,0,0,0,0
"4934",206,780,3.40991163253784,2.5,88.7832794189453,94.7016448974609,2.84362888336182,6.23543548583984,2.55999994277954,0,5.15054798126221,64.2471084594727,306.473327636719,-14.5377197265625,0,0,0,0
"4935",206,840,3.18270206451416,2.31494140625,89.216926574707,94.8899383544922,2.84624028205872,6.24116134643555,2.55999994277954,0,5.15054798126221,68.5501556396484,248.714950561523,-14.7774047851562,0,0,0,0
"4936",206,900,2.51916408538818,1.81256103515625,90.4017486572266,95.0782241821289,2.84885168075562,6.24688720703125,2.55999994277954,0,5.15054798126221,75.1532363891602,154.795867919922,-15.4552307128906,0,0,0,0
"4937",206,960,1.59860193729401,1.1357421875,92.1503677368164,95.2665100097656,2.85146284103394,6.25261306762695,2.55999994277954,0,5.15054798126221,83.4774551391602,52.7384300231934,-16.3733520507812,0,0,0,0
"4938",206,1020,0.92764139175415,0.685760498046875,93.802734375,95.4547958374023,2.85407423973083,6.25833940505981,2.55999994277954,0,5.15054798126221,90,1.21546542644501,-16.9780578613281,0,0,0,0
"4939",206,1080,0.581199467182159,0.449371337890625,94.7350234985352,95.6430816650391,2.85668516159058,6.26406526565552,2.55999994277954,0,5.15054798126221,90,5.17332555318717e-05,-17.2880554199219,0,0,0,0
"4940",206,1140,0.336225181818008,0.256439208984375,95.2789459228516,95.8313751220703,2.8592963218689,6.2697901725769,2.55999994277954,0,5.15054798126221,90,0,-17.5381164550781,0,0,0,0
"4941",206,1200,0.144560962915421,0.098968505859375,95.7023773193359,96.019660949707,2.86190795898438,6.27551651000977,2.55999994277954,0,5.15054798126221,90,0,-17.7393188476562,0,0,0,0
"4942",206,1260,-0.00998684298247099,-0.029541015625,96.0530166625977,96.2079467773438,2.86451864242554,6.28124237060547,2.55999994277954,0,5.15054798126221,90,0,-17.9031524658203,0,0,0,0
"4943",206,1320,-0.135986134409904,-0.134429931640625,96.4086685180664,96.396240234375,2.86713027954102,6.28696823120117,2.55999994277954,0,5.15054798126221,90,0,-18.0384063720703,0,0,0,0
"4944",206,1380,-0.238386735320091,-0.22003173828125,96.7307052612305,96.5845260620117,2.86974120140076,6.29269409179688,2.55999994277954,0,5.15054798126221,90,0,-18.1459045410156,0,0,0,0
"4945",207,0,-0.32421213388443,-0.289886474609375,97.047248840332,96.7728118896484,2.87235260009766,6.29841995239258,2.55999994277954,0,5.15054798126221,90,0,-18.2307281494141,0,0,0,0
"4946",207,60,-0.381539583206177,-0.333117783069611,98.6864471435547,98.2929077148438,2.87659478187561,6.3077220916748,2.55999994277954,0,5.15054798126221,90,0,-18.1880645751953,0,0,0,0
"4947",207,120,-0.435329526662827,-0.376349091529846,100,99.8130035400391,2.88083696365356,6.31702423095703,2.55999994277954,0,5.15054798126221,90,0,-18.1469421386719,0,0,0,0
