"","JULDAY","TIME","D0cm","D1.5cm","D3.5cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"1",1,0,2.1305034160614,2.60322690010071,3.21730732917786,3.66431546211243,5.05469703674316,6.241455078125,8.43677616119385,8.95736503601074,8.28166103363037,5.15054798126221
"2",1,60,3.23655462265015,3.62545561790466,4.05286550521851,4.33676910400391,5.16616535186768,6.01464557647705,8.20775413513184,8.91466236114502,8.27312088012695,5.15054798126221
"3",1,120,3.00192189216614,3.32745480537415,3.75260257720947,4.06246471405029,5.03240156173706,5.90261077880859,7.99897766113281,8.86632347106934,8.2641019821167,5.15054798126221
"4",1,180,3.00955510139465,3.24873876571655,3.66650867462158,3.95163488388062,4.89236116409302,5.75668334960938,7.80710315704346,8.81344890594482,8.25453758239746,5.15054798126221
"5",1,240,2.98032832145691,3.25458216667175,3.62031745910645,3.89297556877136,4.78435754776001,5.61713981628418,7.62793588638306,8.75684452056885,8.24438285827637,5.15054798126221
"6",1,300,2.87941265106201,3.34376382827759,3.59367752075195,3.8696403503418,4.70231246948242,5.49546194076538,7.46070337295532,8.69718933105469,8.23359870910645,5.15054798126221
"7",1,360,3.40266871452332,3.5500385761261,3.77817296981812,3.96652102470398,4.67418432235718,5.39943504333496,7.30556154251099,8.63510990142822,8.22216033935547,5.15054798126221
"8",1,420,4.09620666503906,4.11466217041016,4.19457721710205,4.28851079940796,4.77241134643555,5.36358165740967,7.16495943069458,8.5712308883667,8.21005058288574,5.15054798126221
"9",1,480,5.03504610061646,4.91647958755493,4.83443117141724,4.81989336013794,5.02089691162109,5.42228317260742,7.04511499404907,8.5063009262085,8.19726276397705,5.15054798126221
"10",1,540,6.10228967666626,5.86424446105957,5.62995529174805,5.50997924804688,5.41055154800415,5.59023761749268,6.95397043228149,8.44128799438477,8.18379878997803,5.15054798126221
"11",1,600,7.14976119995117,6.82658958435059,6.47939348220825,6.27454614639282,5.90449285507202,5.86105346679688,6.89864110946655,8.37738704681396,8.1696834564209,5.15054798126221
"12",1,660,7.96186113357544,7.62378740310669,7.23557043075562,6.98989963531494,6.43688678741455,6.20702743530273,6.88324928283691,8.31593036651611,8.15495300292969,5.15054798126221
"13",1,720,8.62905788421631,8.28229141235352,7.87213182449341,7.60399770736694,6.94245576858521,6.58263397216797,6.90710639953613,8.25823402404785,8.1396656036377,5.15054798126221
"14",1,780,8.99862194061279,8.69984817504883,8.33113193511963,8.07850933074951,7.39229106903076,6.95407056808472,6.96522760391235,8.20541477203369,8.12389087677002,5.15054798126221
"15",1,840,8.97525119781494,8.77793216705322,8.51458644866943,8.32070541381836,7.72393083572388,7.28344964981079,7.04978513717651,8.158278465271,8.1077184677124,5.15054798126221
"16",1,900,8.56117725372314,8.50168800354004,8.38877391815186,8.28786563873291,7.88678598403931,7.52755928039551,7.14968681335449,8.11723041534424,8.09123706817627,5.15054798126221
"17",1,960,7.80338954925537,7.89778470993042,7.96503067016602,7.97977876663208,7.85639524459839,7.65229892730713,7.2513484954834,8.08219146728516,8.07454490661621,5.15054798126221
"18",1,1020,6.8038854598999,7.05058336257935,7.29800653457642,7.43488836288452,7.63341426849365,7.6386604309082,7.34048461914062,8.05255794525146,8.0577220916748,5.15054798126221
"19",1,1080,5.69247055053711,6.06475448608398,6.47407913208008,6.72367191314697,7.24612379074097,7.48660707473755,7.40407752990723,8.02725315093994,8.0408353805542,5.15054798126221
"20",1,1140,4.61003255844116,5.07066965103149,5.59838962554932,5.93685007095337,6.74289798736572,7.21420335769653,7.43221998214722,8.00484943389893,8.02397155761719,5.15054798126221
"21",1,1200,4.30175876617432,4.64030838012695,5.0714693069458,5.37539863586426,6.24656963348389,6.86552953720093,7.41969299316406,7.98372459411621,8.00712299346924,5.15054798126221
"22",1,1260,4.47505331039429,4.68423891067505,4.97914791107178,5.20325565338135,5.9394998550415,6.54861354827881,7.37063694000244,7.96231985092163,7.99031114578247,5.15054798126221
"23",1,1320,4.70157670974731,4.84918451309204,5.06045198440552,5.22648239135742,5.80410480499268,6.33184337615967,7.2991361618042,7.93954277038574,7.97352266311646,5.15054798126221
"24",1,1380,4.89942121505737,5.00870847702026,5.16999006271362,5.29805135726929,5.7581934928894,6.20684957504272,7.2197847366333,7.91493225097656,7.9567346572876,5.15054798126221
"25",2,0,5.05855131149292,5.14741659164429,5.27579879760742,5.3793044090271,5.75717115402222,6.14284563064575,7.14208507537842,7.88851261138916,7.93991327285767,5.15054798126221
"26",2,60,5.15528011322021,5.23788833618164,5.35475969314575,5.44658994674683,5.77489185333252,6.11480855941772,7.07088088989258,7.86056756973267,7.9230375289917,5.15054798126221
"27",2,120,5.23713541030884,5.31183624267578,5.41624450683594,5.49886131286621,5.79468679428101,6.10373592376709,7.00783157348633,7.83146905899048,7.90609312057495,5.15054798126221
"28",2,180,5.32251882553101,5.38679838180542,5.47884368896484,5.5521125793457,5.81847953796387,6.10120916366577,6.95283365249634,7.80159854888916,7.88906574249268,5.15054798126221
"29",2,240,5.65375137329102,5.64371871948242,5.66059160232544,5.68954944610596,5.87108945846558,6.10942268371582,6.90542984008789,7.77129411697388,7.87194967269897,5.15054798126221
"30",2,300,5.81903553009033,5.82266092300415,5.83742570877075,5.8572039604187,5.97349548339844,6.14888143539429,6.86672830581665,7.74087572097778,7.85474157333374,5.15054798126221
"31",2,360,6.07208871841431,6.03801202774048,6.01535272598267,6.01163482666016,6.07346963882446,6.20574712753296,6.83820915222168,7.7107081413269,7.83744430541992,5.15054798126221
"32",2,420,6.45871925354004,6.37209749221802,6.28718280792236,6.24426078796387,6.2112021446228,6.28054475784302,6.81985425949097,7.68115043640137,7.82006502151489,5.15054798126221
"33",2,480,6.94814109802246,6.802414894104,6.64975929260254,6.5606255531311,6.40543556213379,6.38843965530396,6.8128662109375,7.65255641937256,7.80261850357056,5.15054798126221
"34",2,540,7.48642063140869,7.29085969924927,7.0735821723938,6.93956661224365,6.65429639816284,6.53769063949585,6.81962633132935,7.62532806396484,7.78512048721313,5.15054798126221
"35",2,600,8.007493019104,7.7769718170166,7.51336145401001,7.34380054473877,6.94248151779175,6.72665548324585,6.84249305725098,7.59993171691895,7.76760196685791,5.15054798126221
"36",2,660,8.46723175048828,8.22107410430908,7.92871046066284,7.73592519760132,7.24614572525024,6.94444894790649,6.88273811340332,7.57687902450562,7.75008010864258,5.15054798126221
"37",2,720,8.79213905334473,8.55591201782227,8.26858615875244,8.07226657867432,7.53866100311279,7.17527866363525,6.93995523452759,7.55665922164917,7.73260068893433,5.15054798126221
"38",2,780,8.9492015838623,8.74755859375,8.49225902557373,8.31190204620361,7.7874174118042,7.39786195755005,7.01178741455078,7.53968524932861,7.71520566940308,5.15054798126221
"39",2,840,8.92188453674316,8.77573490142822,8.57787799835205,8.43151378631592,7.96794080734253,7.59062814712524,7.09387540817261,7.52621412277222,7.69794082641602,5.15054798126221
"40",2,900,8.72111511230469,8.6411247253418,8.51963424682617,8.42070770263672,8.06289100646973,7.73516750335693,7.18037939071655,7.51629877090454,7.68085336685181,5.15054798126221
"41",2,960,8.35981559753418,8.3568696975708,8.32307624816895,8.28166198730469,8.06440162658691,7.81845140457153,7.26469326019287,7.50975465774536,7.66399145126343,5.15054798126221
"42",2,1020,7.89292335510254,7.96057271957397,8.01483821868896,8.03255748748779,7.97406673431396,7.83354187011719,7.34018087387085,7.50616264343262,7.64739513397217,5.15054798126221
"43",2,1080,7.37226152420044,7.50281190872192,7.63419055938721,7.70673656463623,7.80614805221558,7.7817120552063,7.40095567703247,7.5048942565918,7.63109731674194,5.15054798126221
"44",2,1140,6.87189054489136,7.04243516921997,7.23149490356445,7.34662199020386,7.58365154266357,7.67215347290039,7.44266176223755,7.50516986846924,7.61511850357056,5.15054798126221
"45",2,1200,5.80675172805786,6.16499280929565,6.55142259597778,6.78607988357544,7.27421855926514,7.5102744102478,7.46276473999023,7.50613832473755,7.59946966171265,5.15054798126221
"46",2,1260,4.58601713180542,5.07189846038818,5.62304306030273,5.97223949432373,6.78408575057983,7.24901294708252,7.45669746398926,7.50688982009888,7.58414793014526,5.15054798126221
"47",2,1320,3.57032155990601,4.09948968887329,4.72392749786377,5.13720226287842,6.1939640045166,6.87943458557129,7.41664028167725,7.50632858276367,7.56913471221924,5.15054798126221
"48",2,1380,2.78189897537231,3.31541967391968,3.96476626396179,4.40591144561768,5.60413503646851,6.44888877868652,7.33860969543457,7.50318479537964,7.55439615249634,5.15054798126221
"49",3,0,2.17284440994263,2.69581699371338,3.34260320663452,3.79091119766235,5.05835103988647,6.00601005554199,7.22489309310913,7.49624633789062,7.53988218307495,5.15054798126221
"50",3,60,1.83253037929535,2.30102348327637,2.89866089820862,3.32333493232727,4.58407115936279,5.58265781402588,7.0816650390625,7.48454618453979,7.52552556991577,5.15054798126221
"51",3,120,1.57175743579865,2.01180458068848,2.57592415809631,2.97975754737854,4.20071363449097,5.2056245803833,6.91724109649658,7.46745252609253,7.51125526428223,5.15054798126221
"52",3,180,1.54629480838776,1.91020369529724,2.39568328857422,2.75450372695923,3.89541387557983,4.88074588775635,6.74034929275513,7.44469356536865,7.49698114395142,5.15054798126221
"53",3,240,1.05282437801361,1.51572251319885,2.08564567565918,2.4824333190918,3.63979935646057,4.61077833175659,6.55879402160645,7.41632461547852,7.4826283454895,5.15054798126221
"54",3,300,0.887939155101776,1.28128254413605,1.79518055915833,2.17024827003479,3.33869576454163,4.34418916702271,6.37638282775879,7.38262701034546,7.46811819076538,5.15054798126221
"55",3,360,1.19892001152039,1.45959556102753,1.83496749401093,2.12859487533569,3.14773535728455,4.10181331634521,6.19352340698242,7.34391117095947,7.45338106155396,5.15054798126221
"56",3,420,1.85506153106689,1.97248518466949,2.18062615394592,2.36732411384583,3.13275742530823,3.94555711746216,6.01630115509033,7.30057239532471,7.43835067749023,5.15054798126221
"57",3,480,2.75825953483582,2.73006319999695,2.7650511264801,2.83521699905396,3.29570126533508,3.90940499305725,5.85521078109741,7.25330495834351,7.42297315597534,5.15054798126221
"58",3,540,3.70435523986816,3.67431306838989,3.49715757369995,3.4728057384491,3.61588764190674,4.00077152252197,5.72118759155273,7.20316314697266,7.40720558166504,5.15054798126221
"59",3,600,4.77786254882812,4.54201316833496,4.30543375015259,4.17962312698364,4.0486307144165,4.20682382583618,5.62309598922729,7.15150833129883,7.39102458953857,5.15054798126221
"60",3,660,5.47562789916992,5.23973178863525,4.97726488113403,4.81862211227417,4.51668930053711,4.49321269989014,5.56583976745605,7.09986877441406,7.37442779541016,5.15054798126221
"61",3,720,6.09111785888672,5.83336687088013,5.54006242752075,5.35566186904907,4.95041513442993,4.80675077438354,5.54855251312256,7.04975891113281,7.35743427276611,5.15054798126221
"62",3,780,6.46514368057251,6.24263048171997,5.97353506088257,5.7950496673584,5.34656000137329,5.11954498291016,5.56593036651611,7.00246047973633,7.34008312225342,5.15054798126221
"63",3,840,6.46692132949829,6.33505439758301,6.15741395950317,6.02829027175903,5.64482975006104,5.40189218521118,5.6108832359314,6.95894527435303,7.32242965698242,5.15054798126221
"64",3,900,6.08628988265991,6.08101034164429,6.04338979721069,5.99901342391968,5.78860187530518,5.61153411865234,5.67340755462646,6.91980838775635,7.30453824996948,5.15054798126221
"65",3,960,5.341064453125,5.49004983901978,5.62753105163574,5.69526243209839,5.74711465835571,5.71190977096558,5.74072456359863,6.88517761230469,7.28647756576538,5.15054798126221
"66",3,1020,4.33735704421997,4.63661861419678,4.95588970184326,5.144859790802,5.51279067993164,5.67932033538818,5.79883193969727,6.85467338562012,7.26831293106079,5.15054798126221
"67",3,1080,3.1904993057251,3.6238739490509,4.1091456413269,4.4140248298645,5.10892629623413,5.50908231735229,5.83442211151123,6.82742500305176,7.25010108947754,5.15054798126221
"68",3,1140,2.05740571022034,2.58317446708679,3.1942093372345,3.59206986427307,4.58025550842285,5.21538543701172,5.83689308166504,6.80217027664185,7.23188209533691,5.15054798126221
"69",3,1200,1.32245469093323,1.82609844207764,2.4418625831604,2.86262989044189,4.01395797729492,4.83395624160767,5.79996776580811,6.77741241455078,7.21366453170776,5.15054798126221
"70",3,1260,0.926223933696747,1.37774324417114,1.94865763187408,2.351407289505,3.52682304382324,4.43464708328247,5.7242488861084,6.75163841247559,7.19545364379883,5.15054798126221
"71",3,1320,0.673148572444916,1.0869472026825,1.61801874637604,1.99769616127014,3.14124035835266,4.07242441177368,5.61753034591675,6.72360324859619,7.17722845077515,5.15054798126221
"72",3,1380,0.489272773265839,0.874825298786163,1.37155163288116,1.73044717311859,2.83210754394531,3.76184606552124,5.4899525642395,6.69249200820923,7.15894746780396,5.15054798126221
"73",4,0,0.356332302093506,0.715642631053925,1.18281805515289,1.52239489555359,2.58053779602051,3.49820518493652,5.35022354125977,6.65789461135864,7.14056205749512,5.15054798126221
"74",4,60,0.912830233573914,1.13502824306488,1.43996846675873,1.67527008056641,2.49562883377075,3.30231976509094,5.2057523727417,6.61971807479858,7.12202405929565,5.15054798126221
"75",4,120,0.939388811588287,1.1699275970459,1.47544014453888,1.70445489883423,2.46312546730042,3.19499278068542,5.06695079803467,6.578209400177,7.10328674316406,5.15054798126221
"76",4,180,1.051025390625,1.24332475662231,1.51110398769379,1.71721065044403,2.42419052124023,3.11677217483521,4.93879318237305,6.53390789031982,7.08431005477905,5.15054798126221
