"","JULDAY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SOILMOIST3","POOLDEP","TDEEP","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP"
"1",1,0,14.009033203125,14.3811340332031,71.9816589355469,70.2665710449219,5.57574272155762,12.2263441085815,0,0,12.7815065383911,90,0,5.97845458984375,0,0,0,0
"2",1,60,13.2750158309937,13.0546875,72.4553070068359,73.5059204101562,5.59244918823242,12.2629776000977,2.55999994277954,0,12.7815065383911,90,0,4.66021728515625,0,0,0,0
"3",1,120,13.2257947921753,13.0111389160156,75.6759796142578,76.7452697753906,5.6091570854187,12.2996129989624,2.55999994277954,0,12.7815065383911,90,0,4.65609741210938,0,0,0,0
"4",1,180,13.2074127197266,12.9798583984375,78.8034057617188,79.9846115112305,5.63149976730347,12.3486070632935,2.55999994277954,0,12.7815065383911,90,3.04758741549449e-05,4.6629638671875,0,0,0,0
"5",1,240,13.1543836593628,12.9573669433594,83.2373657226562,84.3168258666992,5.63584327697754,12.3581304550171,2.55999994277954,0,12.7815065383911,90,0.107336632907391,4.68978881835938,0,0,0,0
"6",1,300,13.1709098815918,12.9833374023438,83.2891464233398,84.3168258666992,5.62297010421753,12.3299026489258,2.55999994277954,0,12.7815065383911,85.6571578979492,28.6609001159668,4.71725463867188,0,0,0,0
"7",1,360,13.5884971618652,13.411376953125,80.5864562988281,81.522102355957,5.61009693145752,12.3016748428345,2.55999994277954,0,12.7815065383911,75.1703643798828,134.337356567383,5.12396240234375,0,0,0,0
"8",1,420,14.3151006698608,14.1502075195312,76.4830322265625,77.3044738769531,5.59722375869751,12.2734470367432,2.55999994277954,0,12.7815065383911,64.1403884887695,267.993103027344,5.83200073242188,0,0,0,0
"9",1,480,15.2603759765625,15.1035766601562,72.3534851074219,73.0868377685547,5.58435010910034,12.2452182769775,2.55999994277954,0,12.7815065383911,52.835376739502,402.674957275391,6.7572021484375,0,0,0,0
"10",1,540,16.2889003753662,16.1476440429688,68.2513427734375,68.8692092895508,5.57147789001465,12.2169904708862,2.55999994277954,0,12.7815065383911,41.5549125671387,528.859680175781,7.77203369140625,0,0,0,0
"11",1,600,17.3045387268066,17.1464233398438,64.0079345703125,64.6515731811523,5.55860471725464,12.1887645721436,2.55999994277954,0,12.7815065383911,30.7978649139404,620.014831542969,8.7364501953125,0,0,0,0
"12",1,660,18.1394004821777,17.9700317382812,55.6207427978516,56.21630859375,5.54573154449463,12.1605367660522,2.55999994277954,0,12.7815065383911,21.7913570404053,681.378112792969,9.447265625,0,0,0,0
"13",1,720,18.7056350708008,18.5114135742188,55.5369262695312,56.21630859375,5.51998567581177,12.1040811538696,2.55999994277954,0,12.7815065383911,17.7739143371582,702.202819824219,10.00244140625,0,0,0,0
"14",1,780,18.9262676239014,18.7000122070312,56.581241607666,57.3871650695801,5.51998567581177,12.1040811538696,2.55999994277954,0,12.7815065383911,21.7913570404053,681.121765136719,10.2157592773438,0,0,0,0
"15",1,840,18.7720432281494,18.5114135742188,57.6105003356934,58.5580177307129,5.52505397796631,12.115195274353,2.55999994277954,0,12.7815065383911,30.7978649139404,621.232238769531,10.041748046875,0,0,0,0
"16",1,900,18.2661285400391,17.9700317382812,58.6275634765625,59.728874206543,5.53012323379517,12.1263103485107,2.55999994277954,0,12.7815065383911,41.5549125671387,530.419311523438,9.50540161132812,0,0,0,0
