"","JULDAY","TIME","D0cm","D1.5cm","D3.5cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"1",1,0,14.5636940002441,14.7511119842529,14.9915332794189,15.1618928909302,15.6561498641968,15.9895830154419,15.9030780792236,13.6964712142944,12.8538799285889,12.7815065383911
"2",1,60,13.8331480026245,14.1673021316528,14.5448226928711,14.7859439849854,15.3650226593018,15.7186727523804,15.7777671813965,13.7529058456421,12.8659210205078,12.7815065383911
"3",1,120,13.503945350647,13.7722940444946,14.108452796936,14.3416309356689,14.9904136657715,15.4298887252808,15.6457033157349,13.8012266159058,12.8784675598145,12.7815065383911
"4",1,180,13.3511762619019,13.5819654464722,13.8762731552124,14.0847997665405,14.695050239563,15.1454591751099,15.5058174133301,13.8416843414307,12.8913955688477,12.7815065383911
"5",1,240,13.2530393600464,13.4558773040771,13.7170543670654,13.9040956497192,14.464919090271,14.8990201950073,15.3618144989014,13.8745765686035,12.9045896530151,12.7815065383911
"6",1,300,13.4261474609375,13.5422372817993,13.7124032974243,13.8458070755005,14.3033924102783,14.6953620910645,15.2184038162231,13.9003343582153,12.9179344177246,12.7815065383911
"7",1,360,14.5324058532715,14.3648977279663,14.2387285232544,14.1983795166016,14.3241691589355,14.5673532485962,15.081130027771,13.9195423126221,12.9313507080078,12.7815065383911
"8",1,420,16.3752536773682,15.895131111145,15.4081802368164,15.1346302032471,14.6993827819824,14.6134977340698,14.9621438980103,13.9330549240112,12.9447164535522,12.7815065383911
"9",1,480,18.6116008758545,17.8517742156982,17.019775390625,16.5105400085449,15.4322462081909,14.9050121307373,14.8819208145142,13.9422883987427,12.957971572876,12.7815065383911
"10",1,540,20.9932670593262,20.0121994018555,18.8772125244141,18.1570491790771,16.4508628845215,15.4457702636719,14.861536026001,13.9493732452393,12.971079826355,12.7815065383911
"11",1,600,23.1729011535645,22.055700302124,20.7389297485352,19.8695240020752,17.6494598388672,16.1957416534424,14.9165115356445,13.9569835662842,12.9840240478516,12.7815065383911
"12",1,660,24.9460563659668,23.7923641204834,22.3949813842773,21.4476833343506,18.886604309082,17.0774097442627,15.0533924102783,13.9680395126343,12.9968376159668,12.7815065383911
"13",1,720,26.1646404266357,25.0677833557129,23.7016639709473,22.7510623931885,20.0427799224854,18.0009536743164,15.2683477401733,13.9853200912476,13.0095949172974,12.7815065383911
"14",1,780,26.6633224487305,25.7260513305664,24.5135612487793,23.6419715881348,21.0043697357178,18.877368927002,15.548508644104,14.0111131668091,13.0224056243896,12.7815065383911
"15",1,840,26.3835525512695,25.6865787506104,24.732723236084,24.0145645141602,21.6667747497559,19.6187763214111,15.8735084533691,14.0469312667847,13.0353975296021,12.7815065383911
"16",1,900,25.3726043701172,24.9672985076904,24.344217300415,23.8350143432617,21.9618816375732,20.1495037078857,16.2172966003418,14.093318939209,13.0487203598022,12.7815065383911
"17",1,960,23.6364250183105,23.5732269287109,23.3474826812744,23.0963249206543,21.8550682067871,20.4165821075439,16.551082611084,14.1497592926025,13.0625114440918,12.7815065383911
"18",1,1020,21.4322834014893,21.701192855835,21.85595703125,21.8707180023193,21.3433952331543,20.3865261077881,16.8460006713867,14.2146968841553,13.0768966674805,12.7815065383911
"19",1,1080,19.0340709686279,19.5572853088379,20.0622653961182,20.3174743652344,20.4960708618164,20.0646095275879,17.0761699676514,14.28564453125,13.091968536377,12.7815065383911
"20",1,1140,16.7859020233154,17.4723873138428,18.2103805541992,18.6447315216064,19.4211845397949,19.4937076568604,17.2225799560547,14.3594369888306,13.1077756881714,12.7815065383911
"21",1,1200,15.6274738311768,16.1920700073242,16.8625144958496,17.2990856170654,18.3335456848145,18.7654209136963,17.2762985229492,14.4325923919678,13.1243209838867,12.7815065383911
"22",1,1260,15.1930170059204,15.6148710250854,16.1454887390137,16.5105228424072,17.4958229064941,18.0489749908447,17.2444133758545,14.5017881393433,13.1415557861328,12.7815065383911
"23",1,1320,14.9787521362305,15.3163986206055,15.746527671814,16.0485286712646,16.9055194854736,17.4543876647949,17.1492729187012,14.5645112991333,13.1593885421753,12.7815065383911
"24",1,1380,14.8777761459351,15.1030073165894,15.4854955673218,15.7331590652466,16.4762935638428,16.9899291992188,17.0153713226318,14.6193132400513,13.1777067184448,12.7815065383911
"25",2,0,14.7423906326294,14.9796476364136,15.2856187820435,15.5042743682861,16.1532955169678,16.6278114318848,16.8613948822021,14.6656541824341,13.1963815689087,12.7815065383911
"26",2,60,12.3703289031982,12.9147510528564,13.6087446212769,14.0891675949097,15.3914413452148,16.2117919921875,16.6955051422119,14.7035636901855,13.2152738571167,12.7815065383911
"27",2,120,12.3672199249268,12.7563152313232,13.2722959518433,13.6485643386841,14.8019571304321,15.6825866699219,16.5038833618164,14.7329044342041,13.2342834472656,12.7815065383911
